,Year,Month,Jurisdiction,Area (hectares),Time
1742,2006,July,Ontario,20588.700000891,2006-07-01
1776,2006,July,Saskatchewan,36154.12,2006-07-01
1693,2006,July,British Columbia,84075.9940000031,2006-07-01
1725,2006,July,Nova Scotia,0.0,2006-07-01
1750,2006,July,Prince Edward Island,0.0,2006-07-01
1731,2006,July,Northwest Territories,47652.79,2006-07-01
1764,2006,July,Quebec,9226.0,2006-07-01
1694,2006,August,British Columbia,2358.093,2006-08-01
1746,2006,August,Prince Edward Island,0.0,2006-08-01
1702,2006,August,Manitoba,11058.3,2006-08-01
1683,2006,August,Alberta,3686.32,2006-08-01
1710,2006,August,New Brunswick,2.9,2006-08-01
1784,2006,August,Yukon,571.21,2006-08-01
1732,2006,August,Northwest Territories,8913.53,2006-08-01
1743,2006,August,Ontario,55999.500000537,2006-08-01
1726,2006,August,Nova Scotia,4.0,2006-08-01
1717,2006,August,Newfoundland and Labrador,0.2,2006-08-01
1777,2006,August,Saskatchewan,320229.84,2006-08-01
3405,2006,August,Canada,402830.593000537,2006-08-01
1765,2006,August,Quebec,6.7,2006-08-01
1695,2006,September,British Columbia,9913.13600000001,2006-09-01
1744,2006,September,Ontario,61103.200004897,2006-09-01
3415,2006,September,Canada,83839.52600489701,2006-09-01
1756,2006,September,Prince Edward Island,0.0,2006-09-01
1711,2006,September,New Brunswick,1.0,2006-09-01
1733,2006,September,Northwest Territories,121.0,2006-09-01
1718,2006,September,Newfoundland and Labrador,1.1,2006-09-01
1684,2006,September,Alberta,56.9599999999999,2006-09-01
1766,2006,September,Quebec,12.1,2006-09-01
1785,2006,September,Yukon,0.11,2006-09-01
1727,2006,September,Nova Scotia,0.0,2006-09-01
1703,2006,September,Manitoba,149.0,2006-09-01
1778,2006,September,Saskatchewan,12481.92,2006-09-01
3414,2006,October,Canada,620.013000071,2006-10-01
1779,2006,October,Yukon,0.01,2006-10-01
1736,2006,October,Ontario,8.100000071,2006-10-01
1686,2006,October,British Columbia,269.503,2006-10-01
1696,2006,October,Manitoba,130.0,2006-10-01
1704,2006,October,New Brunswick,0.5,2006-10-01
1720,2006,October,Nova Scotia,0.0,2006-10-01
1728,2006,October,Northwest Territories,0.1,2006-10-01
1755,2006,October,Prince Edward Island,0.0,2006-10-01
1674,2006,October,Alberta,173.2,2006-10-01
1768,2006,October,Saskatchewan,4.2,2006-10-01
1758,2006,October,Quebec,34.4,2006-10-01
1754,2006,November,Prince Edward Island,2.0,2006-11-01
1737,2006,November,Ontario,3.699999988,2006-11-01
1675,2006,November,Alberta,0.34,2006-11-01
1759,2006,November,Quebec,0.0,2006-11-01
1769,2006,November,Saskatchewan,37.61,2006-11-01
1697,2006,November,Manitoba,2690.0,2006-11-01
3413,2006,November,Canada,2733.758999988,2006-11-01
1687,2006,November,British Columbia,0.109,2006-11-01
1747,2006,December,Prince Edward Island,0.0,2006-12-01
3406,2006,December,Canada,6.8100000000000005,2006-12-01
1770,2006,December,Saskatchewan,5.57,2006-12-01
1676,2006,December,Alberta,1.24,2006-12-01
1786,2007,January,Alberta,4.86,2007-01-01
1798,2007,January,British Columbia,0.11,2007-01-01
1862,2007,January,Prince Edward Island,0.0,2007-01-01
3421,2007,January,Canada,4.970000000000001,2007-01-01
1857,2007,February,Prince Edward Island,0.02,2007-02-01
1790,2007,February,Alberta,0.3,2007-02-01
1861,2007,February,Prince Edward Island,0.0,2007-02-01
1802,2007,February,British Columbia,0.03,2007-02-01
1849,2007,February,Ontario,0.300000004,2007-02-01
3420,2007,February,Canada,0.650000004,2007-02-01
1791,2007,March,Alberta,123.13,2007-03-01
1835,2007,March,Nova Scotia,60.0,2007-03-01
3424,2007,March,Canada,285.777000037,2007-03-01
1865,2007,March,Prince Edward Island,0.0,2007-03-01
1819,2007,March,New Brunswick,4.0,2007-03-01
1803,2007,March,British Columbia,95.747,2007-03-01
1850,2007,March,Ontario,2.900000037,2007-03-01
1792,2007,April,Alberta,842.78,2007-04-01
1804,2007,April,British Columbia,507.777,2007-04-01
1827,2007,April,Newfoundland and Labrador,1.7,2007-04-01
1887,2007,April,Yukon,0.5,2007-04-01
1836,2007,April,Nova Scotia,319.0,2007-04-01
1811,2007,April,Manitoba,4082.1,2007-04-01
3417,2007,April,Canada,6553.216999102,2007-04-01
1851,2007,April,Ontario,246.999999102,2007-04-01
1858,2007,April,Prince Edward Island,1.0,2007-04-01
1820,2007,April,New Brunswick,115.0,2007-04-01
1880,2007,April,Saskatchewan,399.86,2007-04-01
1873,2007,April,Quebec,36.5,2007-04-01
1842,2007,May,Northwest Territories,89542.1,2007-05-01
1828,2007,May,Newfoundland and Labrador,69.9,2007-05-01
1888,2007,May,Yukon,13986.53,2007-05-01
1852,2007,May,Ontario,33394.299999797,2007-05-01
1812,2007,May,Manitoba,1073.1,2007-05-01
1805,2007,May,British Columbia,536.83,2007-05-01
1881,2007,May,Saskatchewan,8769.41,2007-05-01
1874,2007,May,Quebec,83738.7000000002,2007-05-01
1837,2007,May,Nova Scotia,287.0,2007-05-01
1866,2007,May,Prince Edward Island,18.0,2007-05-01
1821,2007,May,New Brunswick,391.9,2007-05-01
1793,2007,May,Alberta,215359.29,2007-05-01
3425,2007,May,Canada,447167.0599997972,2007-05-01
1813,2007,June,Manitoba,1928.5,2007-06-01
1875,2007,June,Quebec,258704.4,2007-06-01
1882,2007,June,Saskatchewan,126234.03,2007-06-01
1843,2007,June,Northwest Territories,181028.7,2007-06-01
1864,2007,June,Prince Edward Island,0.0,2007-06-01
1829,2007,June,Newfoundland and Labrador,20.8,2007-06-01
1794,2007,June,Alberta,23383.8499999999,2007-06-01
1889,2007,June,Yukon,11981.49,2007-06-01
1822,2007,June,New Brunswick,31.4,2007-06-01
1806,2007,June,British Columbia,9627.61600000001,2007-06-01
3423,2007,June,Canada,615464.1859998279,2007-06-01
1838,2007,June,Nova Scotia,5.0,2007-06-01
1853,2007,June,Ontario,2518.399999828,2007-06-01
1876,2007,July,Quebec,50.2,2007-07-01
1863,2007,July,Prince Edward Island,0.0,2007-07-01
3422,2007,July,Canada,692590.197000234,2007-07-01
1883,2007,July,Saskatchewan,76049.1699999999,2007-07-01
1854,2007,July,Ontario,4099.500000236,2007-07-01
1890,2007,July,Yukon,11472.52,2007-07-01
1814,2007,July,Manitoba,329558.599999999,2007-07-01
1844,2007,July,Northwest Territories,172367.66,2007-07-01
1795,2007,July,Alberta,86213.2499999992,2007-07-01
1823,2007,July,New Brunswick,5.2,2007-07-01
1839,2007,July,Nova Scotia,18.0,2007-07-01
1830,2007,July,Newfoundland and Labrador,0.2,2007-07-01
1807,2007,July,British Columbia,12755.897,2007-07-01
1796,2007,August,Alberta,8.64999999999997,2007-08-01
1824,2007,August,New Brunswick,9.69999999999999,2007-08-01
1884,2007,August,Saskatchewan,1471.63,2007-08-01
3418,2007,August,Canada,10448.36500162101,2007-08-01
1831,2007,August,Newfoundland and Labrador,0.0,2007-08-01
1845,2007,August,Northwest Territories,2190.92,2007-08-01
1877,2007,August,Quebec,120.1,2007-08-01
1808,2007,August,British Columbia,5578.54500000001,2007-08-01
1859,2007,August,Prince Edward Island,0.0,2007-08-01
1855,2007,August,Ontario,369.600001621001,2007-08-01
1840,2007,August,Nova Scotia,0.0,2007-08-01
1815,2007,August,Manitoba,74.6,2007-08-01
1891,2007,August,Yukon,624.62,2007-08-01
1825,2007,September,New Brunswick,2.2,2007-09-01
1856,2007,September,Ontario,16.900000149,2007-09-01
1869,2007,September,Prince Edward Island,0.0,2007-09-01
3428,2007,September,Canada,1015.228000149,2007-09-01
1841,2007,September,Nova Scotia,0.0,2007-09-01
1832,2007,September,Newfoundland and Labrador,0.2,2007-09-01
1797,2007,September,Alberta,14.96,2007-09-01
1878,2007,September,Quebec,33.6,2007-09-01
1816,2007,September,Manitoba,153.9,2007-09-01
1885,2007,September,Saskatchewan,4.02,2007-09-01
1809,2007,September,British Columbia,789.448,2007-09-01
1879,2007,October,Saskatchewan,144.1,2007-10-01
1847,2007,October,Ontario,3.400000004,2007-10-01
3427,2007,October,Canada,604.295000004,2007-10-01
1817,2007,October,New Brunswick,32.5,2007-10-01
1833,2007,October,Nova Scotia,2.0,2007-10-01
1787,2007,October,Alberta,11.19,2007-10-01
1810,2007,October,Manitoba,10.0,2007-10-01
1868,2007,October,Prince Edward Island,0.0,2007-10-01
1799,2007,October,British Columbia,79.005,2007-10-01
1886,2007,October,Yukon,292.1,2007-10-01
1871,2007,October,Quebec,30.0,2007-10-01
1848,2007,November,Ontario,0.100000001,2007-11-01
1788,2007,November,Alberta,31.81,2007-11-01
1818,2007,November,New Brunswick,1.1,2007-11-01
3426,2007,November,Canada,50.649000001,2007-11-01
1867,2007,November,Prince Edward Island,0.0,2007-11-01
1834,2007,November,Nova Scotia,0.0,2007-11-01
1800,2007,November,British Columbia,15.839,2007-11-01
1872,2007,November,Quebec,1.8,2007-11-01
1801,2007,December,British Columbia,0.01,2007-12-01
1789,2007,December,Alberta,0.24,2007-12-01
3419,2007,December,Canada,0.25,2007-12-01
1860,2007,December,Prince Edward Island,0.0,2007-12-01
1989,2008,January,Saskatchewan,35.5,2008-01-01
1970,2008,January,Prince Edward Island,0.0,2008-01-01
3434,2008,January,Canada,59.43,2008-01-01
1893,2008,January,Alberta,23.88,2008-01-01
1906,2008,January,British Columbia,0.05,2008-01-01
1969,2008,February,Prince Edward Island,0.0,2008-02-01
1910,2008,February,British Columbia,19.01,2008-02-01
3433,2008,February,Canada,22.02,2008-02-01
1897,2008,February,Alberta,3.01,2008-02-01
1911,2008,March,British Columbia,31.5,2008-03-01
1973,2008,March,Prince Edward Island,0.0,2008-03-01
1944,2008,March,Nova Scotia,7.0,2008-03-01
1898,2008,March,Alberta,1781.35,2008-03-01
3437,2008,March,Canada,1819.85,2008-03-01
1982,2008,April,Quebec,59.4,2008-04-01
1991,2008,April,Saskatchewan,1044.82,2008-04-01
1899,2008,April,Alberta,302.45,2008-04-01
1920,2008,April,Manitoba,2199.7,2008-04-01
1935,2008,April,Newfoundland and Labrador,3.0,2008-04-01
1945,2008,April,Nova Scotia,279.0,2008-04-01
1912,2008,April,British Columbia,786.584,2008-04-01
1958,2008,April,Ontario,53.000000016,2008-04-01
1966,2008,April,Prince Edward Island,0.0,2008-04-01
1927,2008,April,New Brunswick,15.1,2008-04-01
3430,2008,April,Canada,4743.054000016,2008-04-01
3438,2008,May,Canada,92045.2880002061,2008-05-01
1974,2008,May,Prince Edward Island,0.0,2008-05-01
1992,2008,May,Saskatchewan,13013.5,2008-05-01
1936,2008,May,Newfoundland and Labrador,77.1,2008-05-01
1921,2008,May,Manitoba,70975.7000000001,2008-05-01
1946,2008,May,Nova Scotia,71.0,2008-05-01
1951,2008,May,Northwest Territories,5.04,2008-05-01
1999,2008,May,Yukon,5.35,2008-05-01
1913,2008,May,British Columbia,5794.67800000001,2008-05-01
1959,2008,May,Ontario,49.200000206,2008-05-01
1900,2008,May,Alberta,1943.41999999999,2008-05-01
1983,2008,May,Quebec,45.7,2008-05-01
1928,2008,May,New Brunswick,64.6,2008-05-01
2000,2008,June,Yukon,12648.83,2008-06-01
1972,2008,June,Prince Edward Island,0.0,2008-06-01
1929,2008,June,New Brunswick,11.0,2008-06-01
1947,2008,June,Nova Scotia,2335.0,2008-06-01
1960,2008,June,Ontario,280.500000077,2008-06-01
1993,2008,June,Saskatchewan,773255.750000001,2008-06-01
1937,2008,June,Newfoundland and Labrador,0.3,2008-06-01
1965,2008,June,Prince Edward Island,0.5,2008-06-01
1952,2008,June,Northwest Territories,102177.55,2008-06-01
1901,2008,June,Alberta,4552.18000000002,2008-06-01
3436,2008,June,Canada,926032.5040000781,2008-06-01
1922,2008,June,Manitoba,27867.3,2008-06-01
1914,2008,June,British Columbia,1735.394,2008-06-01
1984,2008,June,Quebec,1168.2,2008-06-01
1948,2008,July,Nova Scotia,6.0,2008-07-01
2001,2008,July,Yukon,194.53,2008-07-01
1961,2008,July,Ontario,26.100000034,2008-07-01
1902,2008,July,Alberta,12391.2400000001,2008-07-01
1953,2008,July,Northwest Territories,177236.33,2008-07-01
3435,2008,July,Canada,517281.5060000341,2008-07-01
1915,2008,July,British Columbia,2375.256,2008-07-01
1971,2008,July,Prince Edward Island,3.0,2008-07-01
1923,2008,July,Manitoba,10181.3,2008-07-01
1930,2008,July,New Brunswick,37.9,2008-07-01
1938,2008,July,Newfoundland and Labrador,4.4,2008-07-01
1985,2008,July,Quebec,138.6,2008-07-01
1994,2008,July,Saskatchewan,314686.85,2008-07-01
1995,2008,August,Saskatchewan,27878.42,2008-08-01
2002,2008,August,Yukon,109.65,2008-08-01
1924,2008,August,Manitoba,39407.3,2008-08-01
1962,2008,August,Ontario,899.500000189,2008-08-01
1931,2008,August,New Brunswick,1.4,2008-08-01
1903,2008,August,Alberta,1488.59,2008-08-01
1986,2008,August,Quebec,66.1,2008-08-01
1967,2008,August,Prince Edward Island,0.0,2008-08-01
1949,2008,August,Nova Scotia,0.0,2008-08-01
3431,2008,August,Canada,100964.257000189,2008-08-01
1939,2008,August,Newfoundland and Labrador,0.0,2008-08-01
1916,2008,August,British Columbia,1743.467,2008-08-01
1954,2008,August,Northwest Territories,29369.83,2008-08-01
1996,2008,September,Saskatchewan,40.09,2008-09-01
3441,2008,September,Canada,571.315999983,2008-09-01
1987,2008,September,Quebec,0.4,2008-09-01
1977,2008,September,Prince Edward Island,0.0,2008-09-01
1932,2008,September,New Brunswick,12.2,2008-09-01
1963,2008,September,Ontario,4.399999983,2008-09-01
1904,2008,September,Alberta,133.16,2008-09-01
1950,2008,September,Nova Scotia,0.0,2008-09-01
1917,2008,September,British Columbia,366.656,2008-09-01
1940,2008,September,Newfoundland and Labrador,13.5,2008-09-01
1925,2008,September,Manitoba,0.8,2008-09-01
2003,2008,September,Yukon,0.11,2008-09-01
3440,2008,October,Canada,955.358000014,2008-10-01
1980,2008,October,Quebec,1.7,2008-10-01
1907,2008,October,British Columbia,487.238,2008-10-01
1919,2008,October,Manitoba,40.5,2008-10-01
1926,2008,October,New Brunswick,0.3,2008-10-01
1894,2008,October,Alberta,129.01,2008-10-01
1934,2008,October,Newfoundland and Labrador,1.7,2008-10-01
1942,2008,October,Nova Scotia,1.0,2008-10-01
1997,2008,October,Yukon,0.01,2008-10-01
1976,2008,October,Prince Edward Island,0.0,2008-10-01
1956,2008,October,Ontario,4.100000014,2008-10-01
1990,2008,October,Saskatchewan,289.8,2008-10-01
1943,2008,November,Nova Scotia,1.0,2008-11-01
1908,2008,November,British Columbia,7.637,2008-11-01
3439,2008,November,Canada,149.077000003,2008-11-01
1957,2008,November,Ontario,0.200000003,2008-11-01
1895,2008,November,Alberta,138.24,2008-11-01
1964,2008,November,Prince Edward Island,0.5,2008-11-01
1975,2008,November,Prince Edward Island,0.0,2008-11-01
1981,2008,November,Quebec,1.5,2008-11-01
1968,2008,December,Prince Edward Island,0.0,2008-12-01
1998,2008,December,Yukon,109.4,2008-12-01
1896,2008,December,Alberta,356.4,2008-12-01
1909,2008,December,British Columbia,0.029,2008-12-01
3432,2008,December,Canada,465.82899999999995,2008-12-01
3447,2009,January,Canada,1763.899,2009-01-01
2064,2009,January,Northwest Territories,1.0,2009-01-01
2005,2009,January,Alberta,1388.83,2009-01-01
2085,2009,January,Prince Edward Island,0.0,2009-01-01
2105,2009,January,Saskatchewan,0.3,2009-01-01
2073,2009,January,Ontario,1.0,2009-01-01
2018,2009,January,British Columbia,372.769,2009-01-01
2022,2009,February,British Columbia,1.269,2009-02-01
2065,2009,February,Northwest Territories,1500.0,2009-02-01
3446,2009,February,Canada,1542.449,2009-02-01
2084,2009,February,Prince Edward Island,0.0,2009-02-01
2009,2009,February,Alberta,41.18,2009-02-01
2010,2009,March,Alberta,879.46,2009-03-01
2088,2009,March,Prince Edward Island,0.0,2009-03-01
2097,2009,March,Quebec,0.1,2009-03-01
3450,2009,March,Canada,904.3530000000001,2009-03-01
2023,2009,March,British Columbia,24.693,2009-03-01
2048,2009,March,Newfoundland and Labrador,0.1,2009-03-01
2056,2009,March,Nova Scotia,0.0,2009-03-01
2098,2009,April,Quebec,103.4,2009-04-01
2081,2009,April,Prince Edward Island,1.0,2009-04-01
2075,2009,April,Ontario,65.999999015,2009-04-01
2107,2009,April,Saskatchewan,399.39,2009-04-01
2024,2009,April,British Columbia,1709.217,2009-04-01
2066,2009,April,Northwest Territories,20.0,2009-04-01
2033,2009,April,Manitoba,0.4,2009-04-01
2041,2009,April,New Brunswick,93.1,2009-04-01
2057,2009,April,Nova Scotia,857.0,2009-04-01
2011,2009,April,Alberta,235.79,2009-04-01
3443,2009,April,Canada,3562.396999015,2009-04-01
2049,2009,April,Newfoundland and Labrador,77.1,2009-04-01
2067,2009,May,Northwest Territories,402.1,2009-05-01
2108,2009,May,Saskatchewan,5340.53000000001,2009-05-01
2099,2009,May,Quebec,186.0,2009-05-01
2042,2009,May,New Brunswick,133.8,2009-05-01
2012,2009,May,Alberta,2100.32,2009-05-01
2050,2009,May,Newfoundland and Labrador,160.8,2009-05-01
2058,2009,May,Nova Scotia,24.0,2009-05-01
2076,2009,May,Ontario,173.400000757,2009-05-01
2114,2009,May,Yukon,43846.62,2009-05-01
2089,2009,May,Prince Edward Island,2.0,2009-05-01
2034,2009,May,Manitoba,1871.0,2009-05-01
2025,2009,May,British Columbia,35094.0609999999,2009-05-01
3451,2009,May,Canada,89334.63100075691,2009-05-01
2109,2009,June,Saskatchewan,31392.92,2009-06-01
2059,2009,June,Nova Scotia,0.0,2009-06-01
3449,2009,June,Canada,229597.37700055022,2009-06-01
2051,2009,June,Newfoundland and Labrador,11.9,2009-06-01
2068,2009,June,Northwest Territories,483.7,2009-06-01
2077,2009,June,Ontario,20401.50000055,2009-06-01
2087,2009,June,Prince Edward Island,0.0,2009-06-01
2043,2009,June,New Brunswick,5.4,2009-06-01
2013,2009,June,Alberta,61690.7400000001,2009-06-01
2100,2009,June,Quebec,91586.5000000001,2009-06-01
2026,2009,June,British Columbia,3669.82700000001,2009-06-01
2115,2009,June,Yukon,19662.19,2009-06-01
2035,2009,June,Manitoba,692.7,2009-06-01
2086,2009,July,Prince Edward Island,0.0,2009-07-01
2044,2009,July,New Brunswick,0.6,2009-07-01
2036,2009,July,Manitoba,110.1,2009-07-01
2110,2009,July,Saskatchewan,465.3,2009-07-01
2069,2009,July,Northwest Territories,1546.4,2009-07-01
2101,2009,July,Quebec,2042.3,2009-07-01
3448,2009,July,Canada,335094.646000135,2009-07-01
2116,2009,July,Yukon,162593.23,2009-07-01
2014,2009,July,Alberta,217.159999999999,2009-07-01
2078,2009,July,Ontario,14.400000136,2009-07-01
2052,2009,July,Newfoundland and Labrador,67.8,2009-07-01
2060,2009,July,Nova Scotia,1.0,2009-07-01
2027,2009,July,British Columbia,168036.355999999,2009-07-01
2111,2009,August,Saskatchewan,9.83,2009-08-01
2117,2009,August,Yukon,3795.41,2009-08-01
2102,2009,August,Quebec,5.5,2009-08-01
2028,2009,August,British Columbia,37237.9429999999,2009-08-01
2045,2009,August,New Brunswick,11.5,2009-08-01
2015,2009,August,Alberta,61.9699999999999,2009-08-01
2082,2009,August,Prince Edward Island,0.0,2009-08-01
2079,2009,August,Ontario,2.70000004,2009-08-01
2070,2009,August,Northwest Territories,24.45,2009-08-01
2061,2009,August,Nova Scotia,0.0,2009-08-01
2053,2009,August,Newfoundland and Labrador,0.0,2009-08-01
2037,2009,August,Manitoba,19.2,2009-08-01
3444,2009,August,Canada,41168.5030000399,2009-08-01
2112,2009,September,Saskatchewan,25.2,2009-09-01
2062,2009,September,Nova Scotia,1.0,2009-09-01
2103,2009,September,Quebec,44.6,2009-09-01
3454,2009,September,Canada,2984.82200012,2009-09-01
2054,2009,September,Newfoundland and Labrador,2.8,2009-09-01
2046,2009,September,New Brunswick,4.4,2009-09-01
2038,2009,September,Manitoba,132.3,2009-09-01
2029,2009,September,British Columbia,1184.262,2009-09-01
2080,2009,September,Ontario,32.10000012,2009-09-01
2092,2009,September,Prince Edward Island,0.0,2009-09-01
2071,2009,September,Northwest Territories,0.2,2009-09-01
2016,2009,September,Alberta,1557.96,2009-09-01
2006,2009,October,Alberta,2.69,2009-10-01
2039,2009,October,New Brunswick,0.6,2009-10-01
2074,2009,October,Ontario,2.000000005,2009-10-01
2095,2009,October,Quebec,0.0,2009-10-01
2031,2009,October,Manitoba,46.3,2009-10-01
2091,2009,October,Prince Edward Island,0.0,2009-10-01
3453,2009,October,Canada,222.434000005,2009-10-01
2019,2009,October,British Columbia,170.844,2009-10-01
2040,2009,November,New Brunswick,4.5,2009-11-01
2007,2009,November,Alberta,990.97,2009-11-01
2032,2009,November,Manitoba,40.0,2009-11-01
2096,2009,November,Quebec,3.3,2009-11-01
3452,2009,November,Canada,1054.68,2009-11-01
2090,2009,November,Prince Edward Island,0.0,2009-11-01
2020,2009,November,British Columbia,15.71,2009-11-01
2106,2009,November,Saskatchewan,0.2,2009-11-01
2008,2009,December,Alberta,203.43,2009-12-01
2083,2009,December,Prince Edward Island,0.0,2009-12-01
3445,2009,December,Canada,818.35,2009-12-01
2021,2009,December,British Columbia,0.02,2009-12-01
2113,2009,December,Yukon,614.9,2009-12-01
2218,2010,January,Yukon,0.1,2010-01-01
2118,2010,January,Alberta,0.46,2010-01-01
2192,2010,January,Prince Edward Island,0.0,2010-01-01
2210,2010,January,Saskatchewan,97.7,2010-01-01
2130,2010,January,British Columbia,12.3,2010-01-01
3460,2010,January,Canada,110.56,2010-01-01
2122,2010,February,Alberta,1.03,2010-02-01
3459,2010,February,Canada,4.831,2010-02-01
2134,2010,February,British Columbia,3.801,2010-02-01
2191,2010,February,Prince Edward Island,0.0,2010-02-01
2162,2010,March,Newfoundland and Labrador,0.8,2010-03-01
3463,2010,March,Canada,1407.527999286,2010-03-01
2212,2010,March,Saskatchewan,4.0,2010-03-01
2170,2010,March,Nova Scotia,253.17,2010-03-01
2135,2010,March,British Columbia,82.928,2010-03-01
2203,2010,March,Quebec,11.3,2010-03-01
2181,2010,March,Ontario,569.399999286,2010-03-01
2195,2010,March,Prince Edward Island,0.0,2010-03-01
2152,2010,March,New Brunswick,6.5,2010-03-01
2123,2010,March,Alberta,479.43,2010-03-01
3456,2010,April,Canada,8723.497999272,2010-04-01
2213,2010,April,Saskatchewan,1962.36,2010-04-01
2204,2010,April,Quebec,91.3,2010-04-01
2188,2010,April,Prince Edward Island,0.0,2010-04-01
2124,2010,April,Alberta,656.78,2010-04-01
2182,2010,April,Ontario,329.399999272,2010-04-01
2171,2010,April,Nova Scotia,137.46,2010-04-01
2136,2010,April,British Columbia,1186.398,2010-04-01
2163,2010,April,Newfoundland and Labrador,14.8,2010-04-01
2153,2010,April,New Brunswick,70.5,2010-04-01
2144,2010,April,Manitoba,4274.5,2010-04-01
2205,2010,May,Quebec,206976.7,2010-05-01
2196,2010,May,Prince Edward Island,5.0,2010-05-01
2183,2010,May,Ontario,10969.599999574,2010-05-01
2174,2010,May,Northwest Territories,6.91,2010-05-01
2172,2010,May,Nova Scotia,36.87,2010-05-01
2164,2010,May,Newfoundland and Labrador,0.6,2010-05-01
2154,2010,May,New Brunswick,29.5,2010-05-01
2145,2010,May,Manitoba,423.4,2010-05-01
2220,2010,May,Yukon,61654.41,2010-05-01
2214,2010,May,Saskatchewan,16586.8604,2010-05-01
2125,2010,May,Alberta,5125.31,2010-05-01
3464,2010,May,Canada,304081.93439957406,2010-05-01
2137,2010,May,British Columbia,2266.774,2010-05-01
2194,2010,June,Prince Edward Island,0.0,2010-06-01
2184,2010,June,Ontario,1455.900000098,2010-06-01
3462,2010,June,Canada,1770275.075000098,2010-06-01
2175,2010,June,Northwest Territories,172406.3,2010-06-01
2173,2010,June,Nova Scotia,5.34,2010-06-01
2215,2010,June,Saskatchewan,1341501.94,2010-06-01
2165,2010,June,Newfoundland and Labrador,3.0,2010-06-01
2206,2010,June,Quebec,107650.5,2010-06-01
2221,2010,June,Yukon,63100.87,2010-06-01
2126,2010,June,Alberta,38531.0700000001,2010-06-01
2146,2010,June,Manitoba,3923.2,2010-06-01
2155,2010,June,New Brunswick,1.5,2010-06-01
2138,2010,June,British Columbia,41695.4549999999,2010-06-01
2176,2010,July,Northwest Territories,177329.74,2010-07-01
3461,2010,July,Canada,884435.94700018,2010-07-01
2147,2010,July,Manitoba,24216.2,2010-07-01
2127,2010,July,Alberta,41523.9900000001,2010-07-01
2193,2010,July,Prince Edward Island,0.0,2010-07-01
2216,2010,July,Saskatchewan,338651.72,2010-07-01
2185,2010,July,Ontario,1261.000000177,2010-07-01
2166,2010,July,Newfoundland and Labrador,3.4,2010-07-01
2156,2010,July,New Brunswick,1.8,2010-07-01
2207,2010,July,Quebec,90.0,2010-07-01
2222,2010,July,Yukon,21120.44,2010-07-01
2139,2010,July,British Columbia,280237.657000003,2010-07-01
2140,2010,August,British Columbia,10998.495,2010-08-01
2189,2010,August,Prince Edward Island,0.0,2010-08-01
2186,2010,August,Ontario,206.200000285,2010-08-01
3457,2010,August,Canada,82835.125000285,2010-08-01
2223,2010,August,Yukon,964.05,2010-08-01
2177,2010,August,Northwest Territories,1114.03,2010-08-01
2208,2010,August,Quebec,78.9,2010-08-01
2148,2010,August,Manitoba,32700.9,2010-08-01
2128,2010,August,Alberta,189.329999999999,2010-08-01
2167,2010,August,Newfoundland and Labrador,13.7,2010-08-01
2157,2010,August,New Brunswick,38.0,2010-08-01
2217,2010,August,Saskatchewan,36531.52,2010-08-01
3467,2010,September,Canada,122537.43200002499,2010-09-01
2209,2010,September,Quebec,8.0,2010-09-01
2199,2010,September,Prince Edward Island,0.0,2010-09-01
2187,2010,September,Ontario,1.500000025,2010-09-01
2129,2010,September,Alberta,57.08,2010-09-01
2178,2010,September,Northwest Territories,70.01,2010-09-01
2168,2010,September,Newfoundland and Labrador,0.4,2010-09-01
2141,2010,September,British Columbia,162.442,2010-09-01
2158,2010,September,New Brunswick,1.1,2010-09-01
2149,2010,September,Manitoba,122236.9,2010-09-01
2160,2010,October,Newfoundland and Labrador,0.0,2010-10-01
2201,2010,October,Quebec,0.8,2010-10-01
2198,2010,October,Prince Edward Island,0.0,2010-10-01
2179,2010,October,Ontario,43.000000101,2010-10-01
3466,2010,October,Canada,1014.8750001010001,2010-10-01
2131,2010,October,British Columbia,498.335,2010-10-01
2219,2010,October,Yukon,123.4,2010-10-01
2211,2010,October,Saskatchewan,0.02,2010-10-01
2142,2010,October,Manitoba,10.2,2010-10-01
2119,2010,October,Alberta,335.72,2010-10-01
2150,2010,October,New Brunswick,3.4,2010-10-01
3465,2010,November,Canada,1579.324000002,2010-11-01
2197,2010,November,Prince Edward Island,0.0,2010-11-01
2120,2010,November,Alberta,50.47,2010-11-01
2180,2010,November,Ontario,0.200000002,2010-11-01
2202,2010,November,Quebec,6.5,2010-11-01
2132,2010,November,British Columbia,35.654,2010-11-01
2169,2010,November,Nova Scotia,5.5,2010-11-01
2161,2010,November,Newfoundland and Labrador,2.0,2010-11-01
2151,2010,November,New Brunswick,4.0,2010-11-01
2143,2010,November,Manitoba,1475.0,2010-11-01
2133,2010,December,British Columbia,0.61,2010-12-01
2190,2010,December,Prince Edward Island,0.0,2010-12-01
3458,2010,December,Canada,2.63,2010-12-01
2121,2010,December,Alberta,2.02,2010-12-01
2235,2011,January,British Columbia,0.409,2011-01-01
2224,2011,January,Alberta,0.21,2011-01-01
2292,2011,January,Prince Edward Island,0.0,2011-01-01
3473,2011,January,Canada,0.619,2011-01-01
3472,2011,February,Canada,0.018,2011-02-01
2238,2011,February,British Columbia,0.018,2011-02-01
2291,2011,February,Prince Edward Island,0.0,2011-02-01
2266,2011,March,Nova Scotia,17.52,2011-03-01
2295,2011,March,Prince Edward Island,0.0,2011-03-01
