,Year,Month,Jurisdiction,Number,Time
79,1990,November,Prince Edward Island,2.0,1990-11-01
3,1990,December,Alberta,4.0,1990-12-01
3198,1990,December,Canada,5.0,1990-12-01
24,1990,December,Manitoba,1.0,1990-12-01
72,1990,December,Prince Edward Island,0.0,1990-12-01
178,1991,January,Prince Edward Island,0.0,1991-01-01
3213,1991,January,Canada,18.0,1991-01-01
196,1991,January,Saskatchewan,2.0,1991-01-01
129,1991,January,Manitoba,5.0,1991-01-01
118,1991,January,British Columbia,2.0,1991-01-01
106,1991,January,Alberta,9.0,1991-01-01
3212,1991,February,Canada,12.0,1991-02-01
110,1991,February,Alberta,4.0,1991-02-01
177,1991,February,Prince Edward Island,0.0,1991-02-01
131,1991,February,Manitoba,3.0,1991-02-01
121,1991,February,British Columbia,5.0,1991-02-01
153,1991,March,Nova Scotia,26.0,1991-03-01
200,1991,March,Saskatchewan,1.0,1991-03-01
189,1991,March,Quebec,1.0,1991-03-01
3216,1991,March,Canada,87.0,1991-03-01
122,1991,March,British Columbia,25.0,1991-03-01
167,1991,March,Ontario,12.0,1991-03-01
181,1991,March,Prince Edward Island,2.0,1991-03-01
111,1991,March,Alberta,8.0,1991-03-01
132,1991,March,Manitoba,12.0,1991-03-01
190,1991,April,Quebec,64.0,1991-04-01
168,1991,April,Ontario,210.0,1991-04-01
154,1991,April,Nova Scotia,208.0,1991-04-01
112,1991,April,Alberta,111.0,1991-04-01
174,1991,April,Prince Edward Island,17.0,1991-04-01
147,1991,April,Newfoundland and Labrador,4.0,1991-04-01
123,1991,April,British Columbia,204.0,1991-04-01
141,1991,April,New Brunswick,91.0,1991-04-01
201,1991,April,Saskatchewan,79.0,1991-04-01
3209,1991,April,Canada,1105.0,1991-04-01
207,1991,April,Yukon,8.0,1991-04-01
133,1991,April,Manitoba,109.0,1991-04-01
208,1991,May,Yukon,28.0,1991-05-01
124,1991,May,British Columbia,193.0,1991-05-01
182,1991,May,Prince Edward Island,16.0,1991-05-01
169,1991,May,Ontario,231.0,1991-05-01
202,1991,May,Saskatchewan,127.0,1991-05-01
3217,1991,May,Canada,1453.0,1991-05-01
113,1991,May,Alberta,201.0,1991-05-01
134,1991,May,Manitoba,75.0,1991-05-01
159,1991,May,Northwest Territories,5.0,1991-05-01
142,1991,May,New Brunswick,154.0,1991-05-01
148,1991,May,Newfoundland and Labrador,29.0,1991-05-01
155,1991,May,Nova Scotia,174.0,1991-05-01
191,1991,May,Quebec,220.0,1991-05-01
